head,seed,val_mcc,test_mcc,test_f1,test_auc,n_params,elapsed_sec
mlp,0,0.8446926440795746,0.6397564688682226,0.8307692307692308,0.9551492767005232,721921,6.212111473083496
mlp,1,0.835104801409905,0.6835770786458805,0.8499210110584519,0.9501015697137581,721921,6.170418739318848
mlp,2,0.8313283918017936,0.6727682915656485,0.8446601941747572,0.9457309941520468,721921,3.6776654720306396
mlp,3,0.8345133958722398,0.6681144820980158,0.8431061806656102,0.9490427823945828,721921,4.309824705123901
mlp,4,0.8452276892362286,0.6816888468192553,0.8490566037735849,0.953080947983995,721921,5.94042706489563
cnn,0,0.8555276032996201,0.6816888468192553,0.8490566037735849,0.9596429670667898,9479553,16.004483938217163
cnn,1,0.8430989051360365,0.7218989184693914,0.8665568369028006,0.9581163434903046,9479553,23.774619579315186
cnn,2,0.8440452747348121,0.713048456775746,0.8627450980392157,0.956817482302247,9479553,14.772710084915161
cnn,3,0.8446250532966733,0.6470679713695737,0.8338461538461538,0.958497999384426,9479553,16.653133630752563
cnn,4,0.8474076063747279,0.7264891597367924,0.8688524590163934,0.9593228685749461,9479553,20.724323987960815
transformer,0,0.8452276892362286,0.6828803005571109,0.8495297805642633,0.9539304401354264,1875713,20.47150206565857
transformer,1,0.827879876603454,0.7123620266109585,0.8626817447495961,0.9547306863650354,1875713,31.609641313552856
transformer,2,0.8310330749073095,0.6517648146002024,0.835725677830941,0.9385041551246538,1875713,21.530657291412354
transformer,3,0.856459247302363,0.7240783505744464,0.867862969004894,0.9552723915050784,1875713,35.097548484802246
transformer,4,0.8484007248250429,0.6521396701034928,0.8361934477379095,0.9445367805478608,1875713,17.392185926437378
deepset,0,0.8339527589595563,0.7029470788016703,0.8585055643879174,0.9550261618959679,427009,18.087443113327026
deepset,1,0.8193541083775756,0.5762336773359028,0.804185351270553,0.9407817790089259,427009,11.007614850997925
deepset,2,0.8347872985041332,0.6599095025485068,0.8394276629570747,0.9469128962757771,427009,19.23130440711975
deepset,3,0.8302851561728659,0.6323582236967612,0.8272727272727273,0.9511111111111111,427009,24.454829216003418
deepset,4,0.8420112814368764,0.6916674216673535,0.8535031847133758,0.9517266851338874,427009,34.33561706542969
seqcnn,0,0.8853551790333359,0.779770689396779,0.8933333333333333,0.9678547245306248,853249,20.0484721660614
seqcnn,1,0.8826387901345707,0.7690153544530924,0.8885245901639345,0.961865189289012,853249,28.611909866333008
seqcnn,2,0.8666889050521486,0.7479801279415064,0.8788368336025848,0.9669806094182825,853249,20.969990253448486
seqcnn,3,0.8699642294658995,0.6631282409196447,0.8404907975460123,0.9572668513388735,853249,16.76933240890503
seqcnn,4,0.8743749950910716,0.7572861203551459,0.8830313014827018,0.9615758694983072,853249,20.595093727111816
