head,seed,val_mcc,test_mcc,test_f1,test_auc,n_params,elapsed_sec
mlp,0,0.8845157919834767,0.8266126116286299,0.9154228855721394,0.9795136965220068,1442817,7.079793214797974
mlp,1,0.8954297264291171,0.852959117782924,0.9279731993299832,0.9825915666358879,1442817,5.172924757003784
mlp,2,0.8916070020286222,0.8439828691971296,0.9235993208828522,0.9799569098184057,1442817,6.199942350387573
mlp,3,0.8844273025254239,0.8439828691971296,0.9235993208828522,0.9794398276392736,1442817,3.9011712074279785
mlp,4,0.8885673498511242,0.8533883806753688,0.9278350515463918,0.9804863034779933,1442817,3.6029162406921387
cnn,0,0.8843800952194613,0.8514373340235105,0.9272419627749577,0.9816435826408125,21013889,35.52609992027283
cnn,1,0.8735524799446222,0.8345432573494658,0.9191919191919192,0.9771375807940905,21013889,23.79070019721985
cnn,2,0.8746748321837413,0.8463646079949132,0.9243986254295533,0.9795998768851955,21013889,30.641084909439087
cnn,3,0.881598648455032,0.8355044182110838,0.918825561312608,0.979636811326562,21013889,38.80115056037903
cnn,4,0.8743366016482187,0.8345432573494658,0.9191919191919192,0.9802770083102493,21013889,33.57524752616882
transformer,0,0.8666889050521486,0.8423593834205806,0.9220103986135182,0.9720160049245921,2236161,62.02326679229736
transformer,1,0.8618700016777562,0.8562721357391876,0.928695652173913,0.981606648199446,2236161,35.839532136917114
transformer,2,0.8706304857987449,0.8232906452954606,0.9137055837563451,0.9772483841181901,2236161,54.13076329231262
transformer,3,0.8763323969807844,0.8247441925607866,0.9131944444444444,0.9747983995075408,2236161,40.973183155059814
transformer,4,0.8640045006357088,0.8353397218920757,0.9185441941074524,0.9753154816866728,2236161,43.3927698135376
deepset,0,0.8953110276401733,0.8684003870035606,0.935374149659864,0.9849061249615266,787457,39.976365089416504
deepset,1,0.9065153272168637,0.8674359260362803,0.9347079037800687,0.9846968297937827,787457,37.490463972091675
deepset,2,0.9097536302064365,0.8774576910631048,0.9393414211438474,0.9823022468451831,787457,55.07351517677307
deepset,3,0.9132908258681804,0.8758434580838961,0.9389830508474576,0.9819144352108341,787457,65.51561903953552
deepset,4,0.8991069206000039,0.8486283756169674,0.9259259259259259,0.9786888273314867,787457,48.10202479362488
seqcnn,0,0.8700508458184701,0.8444006618414981,0.9238578680203046,0.9830840258541089,1754369,42.41640639305115
seqcnn,1,0.9061143159575594,0.8659824749221037,0.9342327150084317,0.9859402893197907,1754369,54.19304037094116
seqcnn,2,0.8883587353595964,0.8807885091426194,0.9407665505226481,0.9837119113573407,1754369,30.69092321395874
seqcnn,3,0.885077321769347,0.8617736836568456,0.9322033898305084,0.9831024930747921,1754369,44.45485734939575
seqcnn,4,0.902529223476112,0.8627134938844689,0.9326599326599326,0.9856078793474915,1754369,51.12377572059631
